Date,Close/Last
1/26/2023,$12.02 
1/25/2023,$12.08 
1/24/2023,$12.00 
1/23/2023,$11.98 
1/20/2023,$11.92 
1/19/2023,$11.22 
1/18/2023,$11.21 
1/17/2023,$12.22 
1/13/2023,$11.08 
1/12/2023,$10.35 
1/11/2023,$9.87 
1/10/2023,$9.72 
1/9/2023,$9.75 
1/6/2023,$9.45 
1/5/2023,$9.35 
1/4/2023,$8.71 
1/3/2023,$8.71 
12/30/2022,$9.19 
12/29/2022,$9.05 
12/28/2022,$9.09 
12/27/2022,$8.84 
12/23/2022,$9.09 
12/22/2022,$8.86 
12/21/2022,$8.68 
12/20/2022,$8.47 
12/19/2022,$7.94 
12/16/2022,$7.47 
12/15/2022,$7.47 
12/14/2022,$7.39 
12/13/2022,$7.51 
12/12/2022,$7.49 
12/9/2022,$7.38 
12/8/2022,$7.40 
12/7/2022,$7.78 
12/6/2022,$7.65 
12/5/2022,$7.78 
12/2/2022,$8.26 
12/1/2022,$8.38 
11/30/2022,$8.39 
11/29/2022,$8.60 
11/28/2022,$8.28 
11/25/2022,$8.22 
11/23/2022,$7.66 
11/22/2022,$7.48 
11/21/2022,$7.27 
11/18/2022,$7.36 
11/17/2022,$7.39 
11/16/2022,$7.64 
11/15/2022,$8.08 
11/14/2022,$8.04 
11/11/2022,$7.65 
11/10/2022,$7.19 
11/9/2022,$7.12 
11/8/2022,$7.75 
11/7/2022,$7.93 
11/4/2022,$8.04 
11/3/2022,$8.12 
11/2/2022,$7.93 
11/1/2022,$8.26 
10/31/2022,$7.64 
10/28/2022,$7.64 
10/27/2022,$7.87 
10/26/2022,$7.78 
10/25/2022,$7.63 
10/24/2022,$7.39 
10/21/2022,$7.17 
10/20/2022,$7.05 
10/19/2022,$7.04 
10/18/2022,$6.94 
10/17/2022,$7.07 
10/14/2022,$6.66 
10/13/2022,$6.87 
10/12/2022,$6.60 
10/11/2022,$6.73 
10/10/2022,$6.88 
10/7/2022,$7.19 
10/6/2022,$7.21 
10/5/2022,$7.40 
10/4/2022,$6.93 
10/3/2022,$6.82 
9/30/2022,$6.21 
9/29/2022,$6.22 
9/28/2022,$6.39 
9/27/2022,$6.21 
9/26/2022,$6.25 
9/23/2022,$6.23 
9/22/2022,$6.92 
9/21/2022,$6.82 
9/20/2022,$7.16 
9/19/2022,$7.21 
9/16/2022,$6.97 
9/15/2022,$6.67 
9/14/2022,$7.30 
9/13/2022,$7.11 
9/12/2022,$7.02 
9/9/2022,$6.97 
9/8/2022,$6.77 
9/7/2022,$6.60 
9/6/2022,$6.02 
9/2/2022,$5.82 
9/1/2022,$5.62 
8/31/2022,$5.49 
8/30/2022,$5.51 
8/29/2022,$5.88 
8/26/2022,$5.51 
8/25/2022,$5.58 
8/24/2022,$5.30 
8/23/2022,$5.17 
8/22/2022,$4.77 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
